index,city_development_index,relevant_experience,enrolled_university,education_level,experience,company_size,last_new_job,gender_Male,gender_Female,major_discipline_Non-STEM,major_discipline_STEM,company_type_Early Startup,company_type_Funded Startup,company_type_NGO,company_type_Public Sector,company_type_Pvt Ltd
0,3,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1
1,4,1,0,2,1,0,1,0,1,0,1,0,0,0,0,1
2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
3,3,1,0,3,2,0,1,1,0,0,1,0,0,0,0,1
4,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1
5,3,0,1,3,1,0,2,1,0,0,1,0,0,0,1,0
6,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1
7,4,1,0,2,3,3,5,0,1,0,1,0,0,0,0,1
8,3,1,0,2,2,0,4,1,0,0,1,0,0,0,0,1
9,1,1,2,2,0,0,1,1,0,0,1,0,1,0,0,0
10,4,1,0,3,3,0,5,1,0,1,0,0,0,0,0,1
11,1,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1
12,2,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0
13,4,1,0,3,0,1,1,1,0,0,1,0,0,0,0,1
14,4,0,0,2,1,3,0,1,0,0,1,0,0,0,0,1
15,1,1,2,2,2,2,1,1,0,0,1,0,0,0,0,1
16,1,1,0,3,0,1,1,1,0,0,1,0,0,0,0,1
17,3,1,0,3,0,0,1,1,0,1,0,0,0,0,0,1
18,1,1,0,2,1,1,4,1,0,0,1,0,0,0,0,1
20,4,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1
21,4,1,0,2,1,3,1,1,0,0,1,0,0,0,0,1
22,1,1,0,2,1,2,3,1,0,0,1,0,0,0,0,1
23,4,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1
24,2,1,0,2,3,1,5,1,0,0,1,0,0,0,0,1
25,4,1,1,2,2,3,5,0,1,0,1,0,0,0,1,0
26,4,1,0,3,3,0,5,1,0,0,1,0,0,0,0,1
27,4,0,2,2,1,0,1,1,0,0,1,0,0,0,1,0
28,1,1,0,3,3,0,1,1,0,0,1,0,0,0,0,1
