index,city_development_index,relevant_experience,enrolled_university,education_level,experience,company_size,last_new_job,gender_Male,gender_Female,major_discipline_Non-STEM,major_discipline_STEM,company_type_Early Startup,company_type_Funded Startup,company_type_NGO,company_type_Public Sector,company_type_Pvt Ltd,target
0,4,1,0,2,3,1,1,1,0,0,1,0,0,0,0,1,1
1,2,0,0,2,2,0,5,1,0,0,1,0,0,0,0,1,0
2,1,0,2,2,1,0,0,1,0,0,1,0,0,0,0,1,0
3,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,1
4,2,1,0,3,3,0,4,1,0,0,1,0,1,0,0,0,0
5,2,1,1,2,2,0,1,1,0,0,1,0,0,0,0,1,1
6,4,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
7,2,1,0,2,2,0,5,1,0,0,1,0,0,0,0,1,1
8,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,1
9,4,1,0,2,3,3,5,1,0,0,1,0,0,0,0,1,0
11,4,1,0,2,1,2,1,1,0,0,1,0,0,0,0,1,0
12,4,1,0,2,3,2,3,1,0,0,1,0,0,0,0,1,0
15,4,1,0,2,3,0,5,1,0,0,1,0,0,0,0,1,0
16,4,1,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0
17,1,1,0,2,0,2,2,1,0,0,1,0,0,0,0,1,0
18,1,1,0,2,1,3,0,1,0,0,1,0,0,0,0,1,1
19,3,1,0,2,0,1,1,0,1,1,0,0,0,0,0,1,1
20,3,1,0,3,2,1,1,1,0,0,1,0,0,0,0,1,0
21,4,1,0,3,2,1,2,1,0,0,1,0,0,0,0,1,0
22,3,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0
23,2,1,0,2,0,2,1,1,0,1,0,0,0,0,0,1,0
24,1,1,0,2,1,2,1,1,0,0,1,0,0,0,0,1,0
26,1,1,1,2,2,1,1,1,0,0,1,0,0,0,0,1,1
27,4,1,0,2,1,1,2,1,0,1,0,0,0,0,0,1,0
28,3,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,1
29,1,1,0,2,3,0,2,1,0,0,1,0,1,0,0,0,1
30,4,1,0,2,3,1,3,1,0,0,1,0,0,0,0,1,0
31,4,1,1,2,3,2,5,1,0,0,1,0,0,0,0,1,0
32,4,0,2,2,1,0,1,0,1,0,1,0,0,0,0,1,0
33,4,1,0,2,3,1,5,0,1,0,1,0,0,0,0,1,0
34,4,1,0,2,2,2,3,1,0,1,0,0,0,0,0,1,0
35,4,1,0,2,1,0,2,1,0,0,1,1,0,0,0,0,0
36,4,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0
37,4,1,0,4,3,1,4,1,0,0,1,0,0,0,0,1,1
38,4,0,0,2,2,0,4,1,0,0,1,0,0,0,0,1,0
40,4,1,2,3,3,2,2,0,1,0,1,0,0,0,1,0,0
41,4,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0
42,1,1,0,3,1,0,1,1,0,0,1,1,0,0,0,0,1
43,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0
44,1,1,1,3,1,2,3,1,0,0,1,0,0,0,0,1,1
45,1,0,2,3,1,0,0,0,1,0,1,0,0,0,0,1,1
46,1,1,0,2,1,1,0,1,0,0,1,0,0,0,0,1,1
47,4,1,0,2,3,3,4,0,0,0,1,0,0,0,1,0,1
48,0,1,0,2,2,3,5,1,0,0,1,0,0,0,0,1,1
49,4,1,0,2,2,0,1,1,0,0,1,0,0,0,0,1,0
50,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,1
51,1,1,0,2,1,1,2,1,0,0,1,0,0,0,0,1,0
52,2,0,0,2,1,3,5,1,0,1,0,0,0,0,0,1,0
53,4,1,0,3,0,0,2,1,0,0,1,1,0,0,0,0,0
54,4,0,2,1,0,3,1,1,0,0,0,0,0,0,0,1,0
55,4,1,0,2,3,1,1,1,0,0,1,0,0,0,0,1,0
56,2,1,2,2,0,0,2,1,0,0,1,1,0,0,0,0,0
57,4,1,0,2,3,1,2,1,0,0,1,0,0,0,0,1,0
58,1,1,2,2,0,0,2,1,0,0,1,0,1,0,0,0,1
59,2,1,0,2,3,1,5,1,0,1,0,0,0,0,0,1,1
60,3,1,1,2,1,0,1,1,0,0,1,0,0,0,0,1,0
61,4,1,0,2,1,1,3,1,0,0,1,0,0,0,0,1,0
62,3,1,0,3,2,0,1,1,0,0,1,0,0,0,0,1,0
63,3,1,0,3,3,1,5,1,0,1,0,0,0,0,0,1,0
65,3,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,1
66,3,0,0,3,0,3,4,0,0,1,0,0,0,0,0,1,0
67,4,1,0,2,2,1,5,1,0,0,1,0,0,0,0,1,0
68,4,1,0,3,2,1,1,0,1,1,0,0,0,0,1,0,0
70,1,1,0,2,3,3,4,1,0,0,1,0,0,0,0,1,0
71,1,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,1
72,3,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0
73,3,1,0,3,1,1,1,1,0,0,1,0,0,0,0,1,0
74,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0
75,4,1,0,2,1,1,2,1,0,0,1,0,0,0,0,1,0
76,3,1,0,3,1,0,2,1,0,0,1,0,0,0,0,1,0
77,4,0,0,2,0,1,1,1,0,1,0,0,0,0,0,1,0
78,3,0,2,2,1,3,3,1,0,0,1,0,0,0,0,1,0
79,4,1,0,3,0,0,1,0,1,0,1,1,0,0,0,0,0
80,4,1,0,2,2,0,5,1,0,0,1,0,0,0,0,1,0
81,4,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1,0
82,4,0,0,2,3,0,1,1,0,0,1,0,0,0,0,1,0
83,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
84,2,1,1,3,0,0,1,1,0,0,1,0,1,0,0,0,0
85,3,1,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0
86,3,0,1,2,0,0,2,0,1,0,1,0,0,0,0,1,0
88,1,0,2,3,2,2,2,1,0,0,1,0,0,0,1,0,0
89,4,1,0,2,1,1,1,0,1,0,1,0,0,1,0,0,0
90,4,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0
91,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
92,4,0,0,2,0,1,1,0,1,1,0,0,0,0,0,1,1
93,1,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,1
94,4,1,0,2,1,1,1,1,0,0,1,0,0,1,0,0,0
95,3,1,2,2,1,0,1,1,0,0,1,0,0,0,0,1,0
96,4,0,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0
97,0,0,2,2,0,1,1,1,0,0,1,0,0,0,0,1,0
98,3,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,1
99,0,1,0,2,1,0,2,1,0,0,1,0,0,0,0,1,1
100,0,1,0,2,1,1,1,1,0,0,1,0,0,0,0,1,1
101,3,0,0,3,3,0,1,1,0,0,1,0,0,0,0,1,0
102,4,1,0,2,2,1,5,0,1,0,1,0,0,1,0,0,0
103,4,1,0,2,1,1,1,1,0,0,1,0,0,0,0,1,0
104,4,1,0,2,2,2,1,1,0,0,1,0,0,0,0,1,0
105,4,1,0,2,3,0,2,1,0,0,1,0,0,0,0,1,0
106,3,1,0,3,1,2,2,1,0,0,1,0,0,0,0,1,0
107,1,1,0,2,0,0,2,1,0,0,1,0,0,0,0,1,1
108,4,1,0,2,3,2,5,1,0,0,1,0,0,0,0,1,0
109,2,1,0,2,3,1,4,1,0,1,0,0,0,0,0,1,0
110,3,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
111,4,1,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0
112,4,0,2,2,0,0,1,1,0,0,1,0,0,0,0,1,1
113,1,1,2,2,0,0,2,1,0,0,1,0,0,1,0,0,0
114,4,1,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0
115,4,1,0,2,3,2,5,1,0,0,1,0,0,0,0,1,0
116,1,1,0,2,0,1,2,1,0,0,1,0,0,0,0,1,1
